case_id,firm_symbol,claim_id,opened_day,legal_track,authority,state,priority,trigger,assessment_id,correction_due_day,decision_day,publication_day,closed_day,remedy,calculated_penalty,applicable_cap,applied_penalty,redress,cross_border_consumer_case,duration_days,state_history,outcome,confidence,rule_ids,reasons,policy_regime
R-780-183,BRN1,C-BRN1-114,780,financial_markets,market_disclosure,closed,0.94,random_surveillance,A-780-183,,1320,1320,1320,correct_and_publish,714555.9895028161,6000000.0,85472.75,0.0,False,540,780:screened|780:evidence_requested|780:under_assessment|1320:formal_investigation|1320:decided|1320:published|1320:closed,systemic_abuse,0.6080980917662452,ISSUER-CLEAR-FAIR-NOT-MISLEADING|MAR-PROSPECTUS-TRANSPARENCY-SCOPE-SCREEN,Material greener-than-evidence representation.,current_eu_supervision
R-780-184,BRN2,C-BRN2-105,780,sustainability_reporting,csrd,closed,0.94,random_surveillance,A-780-184,,1380,1380,1380,correct_and_publish,149495.18516256576,5200000.0,149495.19,0.0,False,600,780:screened|780:evidence_requested|780:under_assessment|1380:formal_investigation|1380:decided|1380:published|1380:closed,systemic_abuse,0.6055040322580646,CSRD-REPORTING-SCOPE|CSRD-LIMITED-ASSURANCE,Material greener-than-evidence representation.,current_eu_supervision
R-780-185,BRN2,C-BRN2-109,780,consumer,directive_2024_825,closed,0.94,random_surveillance,A-780-185,,,,780,none,0.0,0.0,0.0,0.0,False,0,780:screened|780:evidence_requested|780:under_assessment|780:closed,inconclusive,0.6055040322580646,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION,Evidence cannot separate overstatement from noise.,current_eu_supervision
R-780-186,BRN2,C-BRN2-110,780,financial_markets,market_disclosure,closed,0.94,random_surveillance,A-780-186,,1380,1380,1380,correct_and_publish,219167.35516357585,5200000.0,219167.36,0.0,False,600,780:screened|780:evidence_requested|780:under_assessment|1380:formal_investigation|1380:decided|1380:published|1380:closed,systemic_abuse,0.6055040322580646,ISSUER-CLEAR-FAIR-NOT-MISLEADING|MAR-PROSPECTUS-TRANSPARENCY-SCOPE-SCREEN,Material greener-than-evidence representation.,current_eu_supervision
R-780-187,BRN3,C-BRN3-68,780,consumer,directive_2024_825,closed,0.94,random_surveillance,A-780-187,,1380,1380,1380,withdraw_publish_and_redress,70263.94736842105,4000000.0,70263.95,16000.0,False,600,780:screened|780:evidence_requested|780:under_assessment|1380:formal_investigation|1380:decided|1380:published|1380:closed,prohibited_practice,0.24397203947368423,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION|D2024-825-OFFSET-IMPACT-CLAIM|D2024-825-WHOLE-BUSINESS-OVERREACH,Impact-neutrality or reduction claim based on offsets without transparent separation.|Net-zero presentation omits Scope 3 boundary.,current_eu_supervision
R-780-188,GRN2,C-GRN2-109,780,consumer,directive_2024_825,closed,0.94,risk_screening,A-780-188,,1380,1380,1380,withdraw_publish_and_redress,2115761.913735849,8000000.0,806799.23,0.0,False,600,780:screened|780:evidence_requested|780:under_assessment|1380:formal_investigation|1380:decided|1380:published|1380:closed,systemic_abuse,0.6055040322580646,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION,Material greener-than-evidence representation.,current_eu_supervision
R-780-189,GRN2,C-GRN2-113,780,consumer,directive_2024_825,closed,0.94,risk_screening,A-780-189,,1380,1380,1380,withdraw_publish_and_redress,1439514.8930331971,8000000.0,0.0,0.0,False,600,780:screened|780:evidence_requested|780:under_assessment|1380:formal_investigation|1380:decided|1380:published|1380:closed,prohibited_practice,0.36273214949214055,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION|D2024-825-OFFSET-IMPACT-CLAIM|D2024-825-WHOLE-BUSINESS-OVERREACH,Impact-neutrality or reduction claim based on offsets without transparent separation.|Net-zero presentation omits Scope 3 boundary.,current_eu_supervision
R-780-190,GRN2,C-GRN2-114,780,financial_markets,market_disclosure,closed,0.94,risk_screening,A-780-190,,1440,1440,1440,correct_and_publish,1037646.4391732987,8000000.0,125411.99,0.0,False,660,780:screened|780:evidence_requested|780:under_assessment|1440:formal_investigation|1440:decided|1440:published|1440:closed,systemic_abuse,0.6077705579053784,ISSUER-CLEAR-FAIR-NOT-MISLEADING|MAR-PROSPECTUS-TRANSPARENCY-SCOPE-SCREEN,Material greener-than-evidence representation.,current_eu_supervision
R-780-191,GRN2,C-GRN2-115,780,consumer,directive_2024_825,closed,0.94,random_surveillance,A-780-191,,1440,1440,1440,withdraw_publish_and_redress,1581256.9029061676,8000000.0,0.0,0.0,False,660,780:screened|780:evidence_requested|780:under_assessment|1440:formal_investigation|1440:decided|1440:published|1440:closed,systemic_abuse,0.6055040322580646,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION,Material greener-than-evidence representation.,current_eu_supervision
R-780-192,MID1,C-MID1-68,780,consumer,directive_2024_825,closed,0.94,risk_screening,A-780-192,,1440,1440,1440,withdraw_publish_and_redress,1231715.625,7000000.0,510916.19,0.0,False,660,780:screened|780:evidence_requested|780:under_assessment|1440:formal_investigation|1440:decided|1440:published|1440:closed,prohibited_practice,0.360546875,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION|D2024-825-OFFSET-IMPACT-CLAIM|D2024-825-WHOLE-BUSINESS-OVERREACH,Impact-neutrality or reduction claim based on offsets without transparent separation.|Net-zero presentation omits Scope 3 boundary.,current_eu_supervision
