day,asset_price,corporate_balance,noise_count,fundamentalist_count,chartist_count,noise_wealth,fundamentalist_wealth,chartist_wealth,market_maker_wealth,manipulator_wealth,p_green,aggregate_dg,credibility_index,scandals_cum,greenwash_extracted,green_bond_stock,bond_coupons_cum,bank_required_reserves,reserve_shortfalls_cum,BRN1_disclosed,BRN1_true,BRN2_disclosed,BRN2_true,BRN3_disclosed,BRN3_true,MID1_disclosed,MID1_true,MID2_disclosed,MID2_true,MID3_disclosed,MID3_true,MID4_disclosed,MID4_true,GRN1_disclosed,GRN1_true,GRN2_disclosed,GRN2_true,GRN3_disclosed,GRN3_true
147,100.08367346938776,2472088.582984939,32,33,35,106181.44447316733,104460.2968094019,103766.34908316574,2053418.3266557246,2383346.678272081,1.1497963681008372,0.0,0.6614399999999994,0,58535.311662662156,0.0,0.0,0.0,0,0.25,0.02922191526197116,0.35,0.10348824246054097,0.20631843707799616,0.17666190413056887,0.5499999999999999,0.23979769581671442,0.3545875949718951,0.3030289425059823,0.75,0.35712281686880754,0.5112260054455449,0.4401514363507783,0.6111199999999999,0.5399999999999998,0.99,0.6399999999999998,0.8111199999999998,0.7399999999999998
148,100.53214285714286,2485560.5972586926,32,33,35,106160.8872127753,104454.42376230953,103702.324662114,2057958.1648004046,2382374.515745248,1.1247287955684642,-0.014292857936168883,0.6614399999999994,0,59793.882564850464,0.0,0.0,0.0,0,0.25,0.028764639743922748,0.35,0.10280753029714473,0.20631843707799616,0.17581516544788486,0.5499999999999999,0.23861332014012177,0.3545875949718951,0.3016596536611169,0.75,0.35536834981822535,0.5112260054455449,0.4381514363507783,0.6111199999999999,0.5379999999999998,0.99,0.6379999999999998,0.8111199999999998,0.7379999999999998
149,101.20382352941175,2500936.6103536193,32,33,35,106481.98730644655,104674.98825401704,104002.67260993528,2064666.3158561501,2387988.930136199,1.1000769974436115,-0.013792506117271505,0.6614399999999994,0,61060.575841231584,0.0,0.0,0.0,0,0.25,0.028377558153382134,0.35,0.10220043271563287,0.20631843707799616,0.17504791656192364,0.5499999999999999,0.2375135876918555,0.3545875949718951,0.3003832376206172,0.75,0.3537134202477335,0.5112260054455449,0.4361514363507783,0.6111199999999999,0.5359999999999998,0.99,0.6359999999999998,0.8111199999999998,0.7359999999999998
150,102.07999999999998,2480766.4356111935,32,33,35,106753.04424373478,104885.59656769045,104220.39285202065,2073347.5717567443,2392544.3485606466,1.0874139546119916,-0.013549116753835425,0.6614399999999994,0,62327.42153359329,0.0,0.0,0.0,0,0.25,0.028016312693870546,0.35,0.10162272219209981,0.20631843707799616,0.1743138734767845,0.5499999999999999,0.23644986215517283,0.3545875949718951,0.2991477205540081,0.75,0.3521050394199634,0.5112260054455449,0.4341829420961885,0.6111199999999999,0.5339999999999998,0.99,0.6339999999999998,0.8111199999999998,0.7339999999999998
151,102.29391304347827,2480833.640833173,32,33,35,106764.12674353772,104931.6371639805,104246.82913331658,2075533.3136769766,2393269.6182702607,1.0996792365482626,-0.013815868722959007,0.6614399999999994,0,63590.75029307542,0.0,0.0,0.0,0,0.25,0.027618291735195977,0.35,0.10100749576695499,0.20631843707799616,0.17353951177593907,0.5499999999999999,0.23534676085574674,0.3545875949718951,0.2978718810411029,0.75,0.35045572059400054,0.5112260054455449,0.4321829420961885,0.6111199999999999,0.5319999999999998,0.99,0.6319999999999998,0.8111199999999998,0.7319999999999998
152,101.50135593220341,2485381.661874942,32,33,35,106587.40844440335,104778.49381786663,104000.65613473815,2067842.4811907408,2389097.751339389,1.0709408883695497,-0.013285133393216873,0.6614399999999994,0,64850.68859541634,0.0,0.0,0.0,0,0.25,0.027276479035223122,0.35,0.10045424151398553,0.20631843707799616,0.172833133489271,0.5499999999999999,0.23431863741946937,0.3545875949718951,0.2966781495694688,0.75,0.3488978905388832,0.5112260054455449,0.43027893890561075,0.6111199999999999,0.5299999999999998,0.99,0.6299999999999998,0.8111199999999998,0.7299999999999998
153,101.50135593220341,2485381.661874942,32,33,35,106588.40009012676,104781.15528632593,104000.86261669238,2067923.5087352314,2389143.7530136993,1.0709408883695497,0.0,0.6614399999999994,0,64850.68859541634,0.0,0.0,0.0,0,0.25,0.027276479035223122,0.35,0.10045424151398553,0.20631843707799616,0.172833133489271,0.5499999999999999,0.23431863741946937,0.3545875949718951,0.2966781495694688,0.75,0.3488978905388832,0.5112260054455449,0.43027893890561075,0.6111199999999999,0.5299999999999998,0.99,0.6299999999999998,0.8111199999999998,0.7299999999999998
154,101.50135593220341,2485381.661874942,32,33,35,106589.39181735531,104783.81697353606,104001.06911561773,2068004.5429395202,2389189.7584689697,1.0709408883695497,0.0,0.6614399999999994,0,64850.68859541634,0.0,0.0,0.0,0,0.25,0.027276479035223122,0.35,0.10045424151398553,0.20631843707799616,0.172833133489271,0.5499999999999999,0.23431863741946937,0.3545875949718951,0.2966781495694688,0.75,0.3488978905388832,0.5112260054455449,0.43027893890561075,0.6111199999999999,0.5299999999999998,0.99,0.6299999999999998,0.8111199999999998,0.7299999999999998
155,100.86792207792206,2478508.340083483,32,33,35,106564.85706463903,104596.68613470644,103869.98693754816,2061872.0526996613,2385964.7067071027,1.0567031823737274,-0.01288237796948511,0.6614399999999994,0,66112.9902691863,0.0,0.0,0.0,0,0.25,0.026980582140188124,0.35,0.09995015451809539,0.20631843707799616,0.17217974098723862,0.5499999999999999,0.23334558764644014,0.3545875949718951,0.2955448367561405,0.75,0.34740418828543845,0.5112260054455449,0.42845000216888546,0.6111199999999999,0.5279999999999998,0.99,0.6279999999999998,0.8111199999999998,0.7279999999999998
156,100.08323529411766,2466770.6578550665,32,33,35,106486.2218887932,104482.92104643876,103815.83066813693,2054246.310443595,2384193.7900442732,1.045433226066433,-0.012646978769119311,0.6614399999999994,0,67372.41169356121,0.0,0.0,0.0,0,0.25,0.026707835857735434,0.35,0.09947258261017707,0.20631843707799616,0.1715544259168004,0.5499999999999999,0.2324048413661921,0.3545875949718951,0.2944479724452221,0.75,0.3459508569196102,0.5112260054455449,0.4266695986175701,0.6111199999999999,0.5259999999999998,0.99,0.6259999999999998,0.8111199999999998,0.7259999999999998
