day,asset_price,corporate_balance,noise_count,fundamentalist_count,chartist_count,noise_wealth,fundamentalist_wealth,chartist_wealth
1576,101.25,1044161.5419679992,40,53,7,23467.583225877777,23405.9927650939,17516.19740537818
1577,98.9,1044161.5419679992,40,53,7,23213.22256007647,22886.86106104201,17517.637092836158
1578,101.75,1044161.5419679992,40,53,7,23522.668069958083,23516.844136634518,17519.076898624608
1579,100.28,1044161.5419679992,40,53,7,23363.554551788307,23191.173685669906,17520.516822753263
1580,99.25,1044161.5419679992,40,53,7,23252.74623788939,22961.706334922423,17521.95686523185
1581,100.0,1044161.5419679992,40,53,7,23335.034015502944,23128.520575324208,17523.397026070084
1582,100.0,1044161.5419679992,40,53,7,23336.05937738589,23128.594255743683,17524.837305277706
1583,101.25,1044161.5419679992,40,53,7,23471.46060516437,23406.793573972234,17526.27770286444
1584,102.25,1044161.5419679992,40,53,7,23579.72309310873,23630.14180830459,17530.586911978222
1585,99.96,1044161.5419679992,40,53,7,23333.09836834099,23118.32234781586,17521.20238401576
1586,100.71,1044161.5419679992,40,53,7,23414.415629029718,23285.953313087015,17524.788507976795
1587,101.75,1044161.5419679992,40,53,7,23526.556896518658,23519.201476324797,17536.25313000309
1588,100.0,1044161.5419679992,40,53,7,23339.727516164563,23126.73041973898,17516.59052480035
1589,100.0,1044161.5419679992,40,53,7,23340.76072072441,23126.787669745045,17517.92802952047
1590,98.94,1044161.5419679992,40,53,7,23227.967968933728,22888.540198032973,17504.873233677496
1591,99.25,1044161.5419679992,40,53,7,23261.155125130885,22957.86195082134,17509.10025005952
1592,100.4,1044161.5419679992,40,53,7,23385.352930878104,23216.457047759166,17515.505770347394
1593,98.75,1044161.5419679992,40,53,7,23208.262479152043,22843.716687359127,17509.961753815875
1594,100.18,1044161.5419679992,40,53,7,23362.514547121275,23166.259373061148,17512.700016509923
1595,100.0,1044161.5419679992,40,53,7,23344.212714374662,23125.601261859447,17513.95118253868
1596,100.0,1044161.5419679992,40,53,7,23345.247466669192,23125.64353149017,17515.38246619752
1597,98.75,1044161.5419679992,40,53,7,23211.97933991548,22842.244526013284,17515.595703190043
1598,99.09,1044161.5419679992,40,53,7,23248.80788651702,22918.858414613253,17517.58343374827
1599,101.25,1044161.5419679992,40,53,7,23480.153678926225,23408.639253581518,17518.756784656718
1600,102.25,1044161.5419679992,40,53,7,23587.912355378812,23635.953518408252,17522.22160626763
1601,98.75,1044161.5419679992,40,53,7,23213.206929206375,22839.486678154786,17507.44180674885
1602,100.0,1044161.5419679992,40,53,7,23348.088142297875,23124.04471298644,17515.445016251557
1603,100.0,1044161.5419679992,40,53,7,23349.12569066031,23124.0744483751,17516.841197642327
1604,101.75,1044161.5419679992,40,53,7,23537.461998286424,23522.698989597255,17516.831145971682
1605,99.4,1044161.5419679992,40,53,7,23285.733878855353,22986.766828467302,17509.18967750646
1606,102.25,1044161.5419679992,40,53,7,23592.109018534407,23637.0574317372,17527.87762581283
1607,101.53,1044161.5419679992,40,53,7,23515.083506414383,23472.74127722512,17523.826820032682
1608,101.74,1044161.5419679992,40,53,7,23537.90774872435,23520.873377408087,17529.67447321636
1609,100.0,1044161.5419679992,40,53,7,23353.071747715563,23123.09141727731,17505.38936755663
1610,100.0,1044161.5419679992,40,53,7,23354.111332145058,23123.112855134812,17506.70722734809
1611,101.0,1044161.5419679992,40,53,7,23461.674293945238,23351.688820067724,17521.68659819308
1612,101.75,1044161.5419679992,40,53,7,23542.087803697133,23523.549624980824,17538.477910364007
1613,99.25,1044161.5419679992,40,53,7,23275.52161786393,22950.366124757176,17481.4057953357
1614,98.75,1044161.5419679992,40,53,7,23222.127412528083,22835.475200135872,17469.4866504489
1615,99.12,1044161.5419679992,40,53,7,23261.546536275222,22920.14112228145,17477.363213229954
1616,100.0,1044161.5419679992,40,53,7,23357.530181308135,23122.15639272779,17494.99126734924
1617,100.0,1044161.5419679992,40,53,7,23358.56191113379,23122.170154871208,17496.2765699583
1618,98.75,1044161.5419679992,40,53,7,23223.744044839375,22834.982608887603,17473.906646254694
1619,101.25,1044161.5419679992,40,53,7,23494.536153453097,23409.24571828477,17507.26584030147
1620,98.75,991522.8534370203,43,50,7,23480.05033092966,23249.573108630302,17502.97812755198
1621,101.75,991522.8534370203,43,50,7,23832.53975408142,23940.064761427053,17523.524905472448
1622,102.2,991522.8534370203,43,50,7,23885.631805554385,24044.14852188142,17530.460503923583
1623,100.0,991522.8534370203,43,50,7,23628.081759992485,23535.94018526678,17509.186392262454
1624,100.0,991522.8534370203,43,50,7,23629.05737600696,23535.975851583375,17510.54096335536
1625,99.05,991522.8534370203,43,50,7,23518.47937451508,23315.36871014838,17494.69004911748
1626,98.91,991522.8534370203,43,50,7,23502.701387498506,23281.867122235613,17493.14219691451
1627,99.31,991522.8534370203,43,50,7,23549.42580323912,23374.329642090437,17498.16412457175
1628,98.25,991522.8534370203,43,50,7,23426.24896480726,23126.967972035225,17491.79861756406
1629,100.37,991522.8534370203,43,50,7,23673.71053168717,23620.549204583058,17502.59149428351
1630,100.0,991522.8534370203,43,50,7,23631.690266560294,23534.297945405346,17502.51706509126
1631,100.0,991522.8534370203,43,50,7,23632.676128968174,23534.315887702232,17503.922751425376
1632,100.75,991522.8534370203,43,50,7,23719.50857509012,23709.22384729338,17504.834920678917
1633,100.83,991522.8534370203,43,50,7,23729.020465372872,23727.838867584258,17506.190651196393
1634,101.24,991522.8534370203,43,50,7,23776.757918842017,23823.575791455176,17510.332617303065
1635,100.43,991522.8534370203,43,50,7,23683.469328556876,23634.069702899313,17504.093534690437
1636,101.75,991522.8534370203,43,50,7,23836.07469213134,23942.973478434476,17520.53170979959
1637,100.0,991522.8534370203,43,50,7,23635.045123883672,23533.34377981627,17499.11303432368
1638,100.0,991522.8534370203,43,50,7,23636.03889312291,23533.354082044745,17500.444468271708
1639,100.6,991522.8534370203,43,50,7,23705.488932177934,23673.80362528751,17509.146412905266
1640,101.11,991522.8534370203,43,50,7,23764.09919090181,23793.214638953134,17519.216438381864
1641,101.25,991522.8534370203,43,50,7,23780.689860797767,23826.020568823737,17524.625331418403
1642,100.42,991522.8534370203,43,50,7,23686.423596931014,23631.58688702679,17506.786804792144
1643,101.75,991522.8534370203,43,50,7,23838.8538433379,23943.300673508056,17541.654132385804
1644,100.0,991522.8534370203,43,50,7,23640.235243612253,23533.108325618206,17495.367728290305
1645,100.0,991522.8534370203,43,50,7,23641.238819388767,23533.1159783573,17496.581423942414
1646,101.25,991522.8534370203,43,50,7,23784.433002451515,23826.23363676873,17526.85641235307
1647,101.25,991522.8534370203,43,50,7,23784.677365181964,23826.26123434956,17529.757180471035
1648,99.55,991522.8534370203,43,50,7,23591.931681033948,23427.298205242576,17480.460498834556
1649,98.25,991522.8534370203,43,50,7,23444.962309756946,23122.14085968773,17443.337356312935
1650,98.75,991522.8534370203,43,50,7,23501.441411628995,23239.515703730995,17458.16175508136
1651,100.0,991522.8534370203,43,50,7,23644.68485866129,23532.945548172393,17488.337406341074
1652,100.0,991522.8534370203,43,50,7,23645.690016209464,23532.95039301197,17489.584588671925
1653,98.25,991522.8534370203,43,50,7,23447.18281345143,23122.10072517152,17452.239936550253
1654,98.25,991522.8534370203,43,50,7,23448.113226901776,23122.10524290235,17454.019327286056
1655,98.75,991522.8534370203,43,50,7,23505.49783301513,23239.49976100451,17463.520498625086
1656,99.0,991522.8534370203,43,50,7,23534.095935417376,23298.199279478016,17467.6698419847
1657,101.25,991522.8534370203,43,50,7,23789.813934276077,23826.458798322907,17486.27872398819
1658,100.0,991522.8534370203,43,50,7,23648.81803892566,23532.988317539206,17477.82913730797
1659,100.0,991522.8534370203,43,50,7,23649.828040535736,23532.99283712695,17479.201091953306
1660,101.75,991522.8534370203,43,50,7,23849.29196381448,23943.862357086167,17496.08362706697
1661,101.75,991522.8534370203,43,50,7,23850.008911453326,23943.884696634832,17499.6403878463
1662,101.75,991522.8534370203,43,50,7,23850.50942062486,23943.889051541402,17502.937577244127
1663,100.75,991522.8534370203,43,50,7,23737.16623293456,23709.093406805914,17487.56917814797
1664,99.25,991522.8534370203,43,50,7,23567.589596792895,23356.89776242839,17456.98857376046
1665,100.0,991522.8534370203,43,50,7,23653.75034199588,23533.002118408862,17473.89610902484
1666,100.0,991522.8534370203,43,50,7,23654.760007387544,23533.006474747366,17475.16089109251
1667,101.25,991522.8534370203,43,50,7,23796.945209751568,23826.51083144392,17497.95676088802
1668,101.75,991522.8534370203,43,50,7,23854.214966449013,23943.91518849856,17510.135154373496
1669,101.25,991522.8534370203,43,50,7,23797.738594874307,23826.51954591131,17501.98842523264
1670,101.75,991522.8534370203,43,50,7,23855.154332347094,23943.923903682204,17518.05573172943
1671,100.46,991522.8534370203,43,50,7,23708.951977137487,23641.036261811274,17481.88971003482
1672,100.0,991522.8534370203,43,50,7,23657.64796543652,23533.03262029855,17468.810611106874
1673,100.0,991522.8534370203,43,50,7,23658.6556644603,23533.036979144053,17469.991609239292
1674,98.91,991522.8534370203,43,50,7,23534.74352026515,23277.10933834782,17437.424582907686
1675,98.25,991522.8534370203,43,50,7,23459.80353385152,23122.145697909873,17421.36597268812
1676,98.86,991522.8534370203,43,50,7,23529.941978609975,23265.37805783025,17438.055976716834
1677,98.25,991522.8534370203,43,50,7,23460.312474414168,23122.154418108974,17428.079809204002
1678,99.47,991522.8534370203,43,50,7,23600.14340849529,23408.61477874608,17450.637128330312
1679,100.0,991522.8534370203,43,50,7,23661.629935861773,23533.063139741593,17460.718802771393
1680,100.0,991522.8534370203,43,50,7,23662.634917915755,23533.067501095542,17462.017726821716
1681,98.25,991522.8534370203,43,50,7,23463.734926299814,23122.17186280796,17436.921429351634
1682,100.75,991522.8534370203,43,50,7,23748.209726087447,23709.176224878876,17468.79879994876
1683,100.77,991522.8534370203,43,50,7,23750.585600681698,23713.876587308318,17467.408512692553
1684,99.27,991522.8534370203,43,50,7,23581.380176983763,23361.68095009632,17448.6732970044
